,display_name,name,start_date,end_date,type
000416.XSHE,民生控股,MSKG,1996-07-19,2200-01-01,stock
000417.XSHE,合肥百货,HFBH,1996-08-12,2200-01-01,stock
000418.XSHE,小天鹅A,XTEA,1997-03-28,2019-06-20,stock
000419.XSHE,通程控股,TCKG,1996-08-16,2200-01-01,stock
000420.XSHE,吉林化纤,JLHX,1996-08-02,2200-01-01,stock
000421.XSHE,南京公用,NJGY,1996-08-06,2200-01-01,stock
000422.XSHE,ST宜化,STYH,1996-08-15,2200-01-01,stock
000423.XSHE,东阿阿胶,DAAJ,1996-07-29,2200-01-01,stock
000425.XSHE,徐工机械,XGJX,1996-08-28,2200-01-01,stock
000426.XSHE,兴业矿业,XYKY,1996-08-28,2200-01-01,stock
000428.XSHE,华天酒店,HTJD,1996-08-08,2200-01-01,stock
000429.XSHE,粤高速A,YGSA,1998-02-20,2200-01-01,stock
000430.XSHE,张家界,ZJJ,1996-08-29,2200-01-01,stock
000488.XSHE,晨鸣纸业,CMZY,2000-11-20,2200-01-01,stock
000498.XSHE,山东路桥,SDLQ,1997-06-09,2200-01-01,stock
000501.XSHE,鄂武商A,EWSA,1992-11-20,2200-01-01,stock
000502.XSHE,绿景控股,LJKG,1992-11-23,2200-01-01,stock
000503.XSHE,国新健康,GXJK,1992-11-30,2200-01-01,stock
000504.XSHE,*ST生物,*STSW,1992-12-08,2200-01-01,stock
000505.XSHE,京粮控股,JLKG,1992-12-21,2200-01-01,stock
000506.XSHE,中润资源,ZRZY,1993-03-12,2200-01-01,stock
000507.XSHE,珠海港,ZHG,1993-03-26,2200-01-01,stock
000509.XSHE,华塑控股,HSKG,1993-05-07,2200-01-01,stock
000510.XSHE,新金路,XJL,1993-05-07,2200-01-01,stock
000511.XSHE,烯碳退,XTT,1993-05-18,2018-07-17,stock
000513.XSHE,丽珠集团,LZJT,1993-10-28,2200-01-01,stock
000514.XSHE,渝开发,YKF,1993-07-12,2200-01-01,stock
000515.XSHE,攀渝钛业,PYTY,1993-07-12,2009-05-05,stock
000516.XSHE,国际医学,GJYX,1993-08-09,2200-01-01,stock
000517.XSHE,荣安地产,RADC,1993-08-06,2200-01-01,stock
000518.XSHE,四环生物,SHSW,1993-09-08,2200-01-01,stock
000519.XSHE,中兵红箭,ZBHJ,1993-10-08,2200-01-01,stock
000520.XSHE,长航凤凰,CHFH,1993-10-25,2200-01-01,stock
000521.XSHE,长虹美菱,CHML,1993-10-18,2200-01-01,stock
000522.XSHE,白云山A,BYSA,1993-11-08,2013-04-26,stock
000523.XSHE,广州浪奇,GZLQ,1993-11-08,2200-01-01,stock
000524.XSHE,岭南控股,LNKG,1993-11-18,2200-01-01,stock
000525.XSHE,红太阳,HTY,1993-10-28,2200-01-01,stock
000526.XSHE,紫光学大,ZGXD,1993-11-01,2200-01-01,stock
000527.XSHE,美的电器,MDDQ,1993-11-12,2013-09-17,stock
000528.XSHE,柳工,LG,1993-11-18,2200-01-01,stock
000529.XSHE,广弘控股,GHKG,1993-11-18,2200-01-01,stock
000530.XSHE,大冷股份,DLGF,1993-12-08,2200-01-01,stock
000531.XSHE,穗恒运A,SHYA,1994-01-06,2200-01-01,stock
000532.XSHE,华金资本,HJZB,1994-01-03,2200-01-01,stock
000533.XSHE,顺钠股份,SNGF,1994-01-03,2200-01-01,stock
000534.XSHE,万泽股份,WZGF,1994-01-10,2200-01-01,stock
000535.XSHE,*ST猴王,*STHW,1993-11-30,2005-09-21,stock
000536.XSHE,华映科技,HYKJ,1993-11-26,2200-01-01,stock
000537.XSHE,广宇发展,GYFZ,1993-12-10,2200-01-01,stock
000538.XSHE,云南白药,YNBY,1993-12-15,2200-01-01,stock
000539.XSHE,粤电力A,YDLA,1993-11-26,2200-01-01,stock
000540.XSHE,中天金融,ZTJR,1994-02-02,2200-01-01,stock
000541.XSHE,佛山照明,FSZM,1993-11-23,2200-01-01,stock
000543.XSHE,皖能电力,WNDL,1993-12-20,2200-01-01,stock
000544.XSHE,中原环保,ZYHB,1993-12-08,2200-01-01,stock
000545.XSHE,金浦钛业,JPTY,1993-12-15,2200-01-01,stock
000546.XSHE,金圆股份,JYGF,1993-12-15,2200-01-01,stock
000547.XSHE,航天发展,HTFZ,1993-11-30,2200-01-01,stock
000548.XSHE,湖南投资,HNTZ,1993-12-20,2200-01-01,stock
000549.XSHE,S湘火炬,SXHJ,1993-12-20,2007-04-27,stock
000550.XSHE,江铃汽车,JLQC,1993-12-01,2200-01-01,stock
000551.XSHE,创元科技,CYKJ,1994-01-06,2200-01-01,stock
000552.XSHE,靖远煤电,JYMD,1994-01-06,2200-01-01,stock
000553.XSHE,安道麦A,ADMA,1993-12-03,2200-01-01,stock
000554.XSHE,泰山石油,TSSY,1993-12-15,2200-01-01,stock
000555.XSHE,神州信息,SZXX,1994-04-08,2200-01-01,stock
000557.XSHE,西部创业,XBCY,1994-06-17,2200-01-01,stock
000558.XSHE,莱茵体育,LYTY,1994-05-09,2200-01-01,stock
000559.XSHE,万向钱潮,WXQC,1994-01-10,2200-01-01,stock
000560.XSHE,我爱我家,WAWJ,1994-02-02,2200-01-01,stock
000561.XSHE,烽火电子,FHDZ,1994-05-09,2200-01-01,stock
000562.XSHE,宏源证券,HYZQ,1994-02-02,2015-01-23,stock
000563.XSHE,陕国投A,SGTA,1994-01-10,2200-01-01,stock
000564.XSHE,供销大集,GXDJ,1994-01-10,2200-01-01,stock
000565.XSHE,渝三峡A,YSXA,1994-04-08,2200-01-01,stock
000566.XSHE,海南海药,HNHY,1994-05-25,2200-01-01,stock
000567.XSHE,海德股份,HDGF,1994-05-25,2200-01-01,stock
000568.XSHE,泸州老窖,LZLJ,1994-05-09,2200-01-01,stock
000569.XSHE,长城股份,CCGF,1994-04-25,2009-05-05,stock
000570.XSHE,苏常柴A,SCCA,1994-07-01,2200-01-01,stock
000571.XSHE,*ST大洲,*STDZ,1994-05-25,2200-01-01,stock
000572.XSHE,*ST海马,*STHM,1994-08-08,2200-01-01,stock
000573.XSHE,粤宏远A,YHYA,1994-08-15,2200-01-01,stock
000576.XSHE,广东甘化,GDGH,1994-09-07,2200-01-01,stock
