,display_name,name,start_date,end_date,type
002339.XSHE,积成电子,JCDZ,2010-01-22,2200-01-01,stock
002340.XSHE,格林美,GLM,2010-01-22,2200-01-01,stock
002341.XSHE,新纶科技,XLKJ,2010-01-22,2200-01-01,stock
002342.XSHE,巨力索具,JLSJ,2010-01-26,2200-01-01,stock
002343.XSHE,慈文传媒,CWCM,2010-01-26,2200-01-01,stock
002344.XSHE,海宁皮城,HNPC,2010-01-26,2200-01-01,stock
002345.XSHE,潮宏基,CHJ,2010-01-28,2200-01-01,stock
002346.XSHE,柘中股份,ZZGF,2010-01-28,2200-01-01,stock
002347.XSHE,泰尔股份,TEGF,2010-01-28,2200-01-01,stock
002348.XSHE,高乐股份,GLGF,2010-02-03,2200-01-01,stock
002349.XSHE,精华制药,JHZY,2010-02-03,2200-01-01,stock
002350.XSHE,北京科锐,BJKR,2010-02-03,2200-01-01,stock
002351.XSHE,漫步者,MBZ,2010-02-05,2200-01-01,stock
002352.XSHE,顺丰控股,SFKG,2010-02-05,2200-01-01,stock
002353.XSHE,杰瑞股份,JRGF,2010-02-05,2200-01-01,stock
002354.XSHE,天神娱乐,TSYL,2010-02-09,2200-01-01,stock
002355.XSHE,兴民智通,XMZT,2010-02-09,2200-01-01,stock
002356.XSHE,*ST赫美,*STHM,2010-02-09,2200-01-01,stock
002357.XSHE,富临运业,FLYY,2010-02-10,2200-01-01,stock
002358.XSHE,森源电气,SYDQ,2010-02-10,2200-01-01,stock
002359.XSHE,*ST北讯,*STBX,2010-02-10,2200-01-01,stock
002360.XSHE,同德化工,TDHG,2010-03-03,2200-01-01,stock
002361.XSHE,神剑股份,SJGF,2010-03-03,2200-01-01,stock
002362.XSHE,汉王科技,HWKJ,2010-03-03,2200-01-01,stock
002363.XSHE,隆基机械,LJJX,2010-03-05,2200-01-01,stock
002364.XSHE,中恒电气,ZHDQ,2010-03-05,2200-01-01,stock
002365.XSHE,永安药业,YAYY,2010-03-05,2200-01-01,stock
002366.XSHE,台海核电,THHD,2010-03-12,2200-01-01,stock
002367.XSHE,康力电梯,KLDT,2010-03-12,2200-01-01,stock
002368.XSHE,太极股份,TJGF,2010-03-12,2200-01-01,stock
002369.XSHE,卓翼科技,ZYKJ,2010-03-16,2200-01-01,stock
002370.XSHE,亚太药业,YTYY,2010-03-16,2200-01-01,stock
002371.XSHE,北方华创,BFHC,2010-03-16,2200-01-01,stock
002372.XSHE,伟星新材,WXXC,2010-03-18,2200-01-01,stock
002373.XSHE,千方科技,QFKJ,2010-03-18,2200-01-01,stock
002374.XSHE,丽鹏股份,LPGF,2010-03-18,2200-01-01,stock
002375.XSHE,亚厦股份,YSGF,2010-03-23,2200-01-01,stock
002376.XSHE,新北洋,XBY,2010-03-23,2200-01-01,stock
002377.XSHE,国创高新,GCGX,2010-03-23,2200-01-01,stock
002378.XSHE,章源钨业,ZYWY,2010-03-31,2200-01-01,stock
002379.XSHE,宏创控股,HCKG,2010-03-31,2200-01-01,stock
002380.XSHE,科远智慧,KYZH,2010-03-31,2200-01-01,stock
002381.XSHE,双箭股份,SJGF,2010-04-02,2200-01-01,stock
002382.XSHE,蓝帆医疗,LFYL,2010-04-02,2200-01-01,stock
002383.XSHE,合众思壮,HZSZ,2010-04-02,2200-01-01,stock
002384.XSHE,东山精密,DSJM,2010-04-09,2200-01-01,stock
002385.XSHE,大北农,DBN,2010-04-09,2200-01-01,stock
002386.XSHE,天原集团,TYJT,2010-04-09,2200-01-01,stock
002387.XSHE,维信诺,WXN,2010-04-13,2200-01-01,stock
002388.XSHE,新亚制程,XYZC,2010-04-13,2200-01-01,stock
002389.XSHE,航天彩虹,HTCH,2010-04-13,2200-01-01,stock
002390.XSHE,信邦制药,XBZY,2010-04-16,2200-01-01,stock
002391.XSHE,长青股份,CQGF,2010-04-16,2200-01-01,stock
002392.XSHE,北京利尔,BJLE,2010-04-23,2200-01-01,stock
002393.XSHE,力生制药,LSZY,2010-04-23,2200-01-01,stock
002394.XSHE,联发股份,LFGF,2010-04-23,2200-01-01,stock
002395.XSHE,双象股份,SXGF,2010-04-29,2200-01-01,stock
002396.XSHE,星网锐捷,XWRJ,2010-06-23,2200-01-01,stock
002397.XSHE,梦洁股份,MJGF,2010-04-29,2200-01-01,stock
002398.XSHE,垒知集团,LZJT,2010-05-06,2200-01-01,stock
002399.XSHE,海普瑞,HPR,2010-05-06,2200-01-01,stock
002400.XSHE,省广集团,SGJT,2010-05-06,2200-01-01,stock
002401.XSHE,中远海科,ZYHK,2010-05-06,2200-01-01,stock
002402.XSHE,和而泰,HET,2010-05-11,2200-01-01,stock
002403.XSHE,爱仕达,ASD,2010-05-11,2200-01-01,stock
002404.XSHE,嘉欣丝绸,JXSC,2010-05-11,2200-01-01,stock
002405.XSHE,四维图新,SWTX,2010-05-18,2200-01-01,stock
002406.XSHE,远东传动,YDCD,2010-05-18,2200-01-01,stock
002407.XSHE,多氟多,DFD,2010-05-18,2200-01-01,stock
002408.XSHE,齐翔腾达,QXTD,2010-05-18,2200-01-01,stock
002409.XSHE,雅克科技,YKKJ,2010-05-25,2200-01-01,stock
002410.XSHE,广联达,GLD,2010-05-25,2200-01-01,stock
002411.XSHE,延安必康,YABK,2010-05-25,2200-01-01,stock
002412.XSHE,汉森制药,HSZY,2010-05-25,2200-01-01,stock
002413.XSHE,雷科防务,LKFW,2010-05-28,2200-01-01,stock
002414.XSHE,高德红外,GDHW,2010-07-16,2200-01-01,stock
002415.XSHE,海康威视,HKWS,2010-05-28,2200-01-01,stock
002416.XSHE,爱施德,ASD,2010-05-28,2200-01-01,stock
002417.XSHE,深南股份,SNGF,2010-06-01,2200-01-01,stock
002418.XSHE,康盛股份,KSGF,2010-06-01,2200-01-01,stock
002419.XSHE,天虹股份,THGF,2010-06-01,2200-01-01,stock
002420.XSHE,*ST毅昌,*STYC,2010-06-01,2200-01-01,stock
002421.XSHE,达实智能,DSZN,2010-06-03,2200-01-01,stock
002422.XSHE,科伦药业,KLYY,2010-06-03,2200-01-01,stock
002423.XSHE,中粮资本,ZLZB,2010-06-03,2200-01-01,stock
002424.XSHE,贵州百灵,GZBL,2010-06-03,2200-01-01,stock
002425.XSHE,凯撒文化,KSWH,2010-06-08,2200-01-01,stock
002426.XSHE,胜利精密,SLJM,2010-06-08,2200-01-01,stock
002427.XSHE,*ST尤夫,*STYF,2010-06-08,2200-01-01,stock
002428.XSHE,云南锗业,YNDY,2010-06-08,2200-01-01,stock
002429.XSHE,兆驰股份,ZCGF,2010-06-10,2200-01-01,stock
002430.XSHE,杭氧股份,HYGF,2010-06-10,2200-01-01,stock
002431.XSHE,棕榈股份,ZLGF,2010-06-10,2200-01-01,stock
002432.XSHE,九安医疗,JAYL,2010-06-10,2200-01-01,stock
002433.XSHE,太安堂,TAT,2010-06-18,2200-01-01,stock
002434.XSHE,万里扬,WLY,2010-06-18,2200-01-01,stock
002435.XSHE,长江健康,CJJK,2010-06-18,2200-01-01,stock
002436.XSHE,兴森科技,XSKJ,2010-06-18,2200-01-01,stock
002437.XSHE,誉衡药业,YHYY,2010-06-23,2200-01-01,stock
002438.XSHE,江苏神通,JSST,2010-06-23,2200-01-01,stock
002439.XSHE,启明星辰,QMXC,2010-06-23,2200-01-01,stock
002440.XSHE,闰土股份,RTGF,2010-07-06,2200-01-01,stock
002441.XSHE,众业达,ZYD,2010-07-06,2200-01-01,stock
002442.XSHE,龙星化工,LXHG,2010-07-06,2200-01-01,stock
002443.XSHE,金洲管道,JZGD,2010-07-06,2200-01-01,stock
002444.XSHE,巨星科技,JXKJ,2010-07-13,2200-01-01,stock
002445.XSHE,ST中南,STZN,2010-07-13,2200-01-01,stock
002446.XSHE,盛路通信,SLTX,2010-07-13,2200-01-01,stock
002447.XSHE,晨鑫科技,CXKJ,2010-07-13,2200-01-01,stock
002448.XSHE,中原内配,ZYNP,2010-07-16,2200-01-01,stock
002449.XSHE,国星光电,GXGD,2010-07-16,2200-01-01,stock
002450.XSHE,*ST康得,*STKD,2010-07-16,2200-01-01,stock
002451.XSHE,摩恩电气,MEDQ,2010-07-20,2200-01-01,stock
002452.XSHE,长高集团,CGJT,2010-07-20,2200-01-01,stock
002453.XSHE,华软科技,HRKJ,2010-07-20,2200-01-01,stock
002454.XSHE,松芝股份,SZGF,2010-07-20,2200-01-01,stock
002455.XSHE,百川股份,BCGF,2010-08-03,2200-01-01,stock
002456.XSHE,欧菲光,OFG,2010-08-03,2200-01-01,stock
002457.XSHE,青龙管业,QLGY,2010-08-03,2200-01-01,stock
002458.XSHE,益生股份,YSGF,2010-08-10,2200-01-01,stock
002459.XSHE,天业通联,TYTL,2010-08-10,2200-01-01,stock
002460.XSHE,赣锋锂业,GFLY,2010-08-10,2200-01-01,stock
002461.XSHE,珠江啤酒,ZJPJ,2010-08-18,2200-01-01,stock
002462.XSHE,嘉事堂,JST,2010-08-18,2200-01-01,stock
002463.XSHE,沪电股份,HDGF,2010-08-18,2200-01-01,stock
002464.XSHE,众应互联,ZYHL,2010-08-31,2200-01-01,stock
002465.XSHE,海格通信,HGTX,2010-08-31,2200-01-01,stock
002466.XSHE,天齐锂业,TQLY,2010-08-31,2200-01-01,stock
002467.XSHE,二六三,ELS,2010-09-08,2200-01-01,stock
002468.XSHE,申通快递,STKD,2010-09-08,2200-01-01,stock
002469.XSHE,三维工程,SWGC,2010-09-08,2200-01-01,stock
002470.XSHE,金正大,JZD,2010-09-08,2200-01-01,stock
002471.XSHE,中超控股,ZCKG,2010-09-10,2200-01-01,stock
002472.XSHE,双环传动,SHCD,2010-09-10,2200-01-01,stock
002473.XSHE,圣莱达,SLD,2010-09-10,2200-01-01,stock
002474.XSHE,榕基软件,RJRJ,2010-09-15,2200-01-01,stock
002475.XSHE,立讯精密,LXJM,2010-09-15,2200-01-01,stock
002476.XSHE,宝莫股份,BMGF,2010-09-15,2200-01-01,stock
002477.XSHE,雏鹰退,CYT,2010-09-15,2019-10-15,stock
002478.XSHE,常宝股份,CBGF,2010-09-21,2200-01-01,stock
002479.XSHE,富春环保,FCHB,2010-09-21,2200-01-01,stock
002480.XSHE,新筑股份,XZGF,2010-09-21,2200-01-01,stock
002481.XSHE,双塔食品,STSP,2010-09-21,2200-01-01,stock
002482.XSHE,广田集团,GTJT,2010-09-29,2200-01-01,stock
002483.XSHE,润邦股份,RBGF,2010-09-29,2200-01-01,stock
002484.XSHE,江海股份,JHGF,2010-09-29,2200-01-01,stock
002485.XSHE,希努尔,XNE,2010-10-15,2200-01-01,stock
002486.XSHE,嘉麟杰,JLJ,2010-10-15,2200-01-01,stock
002487.XSHE,大金重工,DJZG,2010-10-15,2200-01-01,stock
002488.XSHE,金固股份,JGGF,2010-10-21,2200-01-01,stock
002489.XSHE,浙江永强,ZJYQ,2010-10-21,2200-01-01,stock
002490.XSHE,山东墨龙,SDML,2010-10-21,2200-01-01,stock
002491.XSHE,通鼎互联,TDHL,2010-10-21,2200-01-01,stock
002492.XSHE,恒基达鑫,HJDX,2010-11-02,2200-01-01,stock
002493.XSHE,荣盛石化,RSSH,2010-11-02,2200-01-01,stock
002494.XSHE,华斯股份,HSGF,2010-11-02,2200-01-01,stock
002495.XSHE,佳隆股份,JLGF,2010-11-02,2200-01-01,stock
002496.XSHE,辉丰股份,HFGF,2010-11-09,2200-01-01,stock
002497.XSHE,雅化集团,YHJT,2010-11-09,2200-01-01,stock
002498.XSHE,汉缆股份,HLGF,2010-11-09,2200-01-01,stock
002499.XSHE,*ST科林,*STKL,2010-11-09,2200-01-01,stock
002500.XSHE,山西证券,SXZQ,2010-11-15,2200-01-01,stock
002501.XSHE,*ST利源,*STLY,2010-11-17,2200-01-01,stock
002502.XSHE,鼎龙文化,DLWH,2010-11-17,2200-01-01,stock
002503.XSHE,搜于特,SYT,2010-11-17,2200-01-01,stock
002504.XSHE,弘高创意,HGCY,2010-11-18,2200-01-01,stock
002505.XSHE,大康农业,DKNY,2010-11-18,2200-01-01,stock
002506.XSHE,协鑫集成,XXJC,2010-11-18,2200-01-01,stock
002507.XSHE,涪陵榨菜,FLZC,2010-11-23,2200-01-01,stock
002508.XSHE,老板电器,LBDQ,2010-11-23,2200-01-01,stock
002509.XSHE,天广中茂,TGZM,2010-11-23,2200-01-01,stock
002510.XSHE,天汽模,TQM,2010-11-25,2200-01-01,stock
002511.XSHE,中顺洁柔,ZSJR,2010-11-25,2200-01-01,stock
002512.XSHE,达华智能,DHZN,2010-12-03,2200-01-01,stock
002513.XSHE,蓝丰生化,LFSH,2010-12-03,2200-01-01,stock
002514.XSHE,宝馨科技,BXKJ,2010-12-03,2200-01-01,stock
002515.XSHE,金字火腿,JZHT,2010-12-03,2200-01-01,stock
002516.XSHE,旷达科技,KDKJ,2010-12-07,2200-01-01,stock
002517.XSHE,恺英网络,KYWL,2010-12-07,2200-01-01,stock
002518.XSHE,科士达,KSD,2010-12-07,2200-01-01,stock
002519.XSHE,银河电子,YHDZ,2010-12-07,2200-01-01,stock
002520.XSHE,日发精机,RFJJ,2010-12-10,2200-01-01,stock
002521.XSHE,齐峰新材,QFXC,2010-12-10,2200-01-01,stock
002522.XSHE,浙江众成,ZJZC,2010-12-10,2200-01-01,stock
002523.XSHE,天桥起重,TQQZ,2010-12-10,2200-01-01,stock
002524.XSHE,光正集团,GZJT,2010-12-17,2200-01-01,stock
002526.XSHE,山东矿机,SDKJ,2010-12-17,2200-01-01,stock
002527.XSHE,新时达,XSD,2010-12-24,2200-01-01,stock
002528.XSHE,英飞拓,YFT,2010-12-24,2200-01-01,stock
002529.XSHE,海源复材,HYFC,2010-12-24,2200-01-01,stock
002530.XSHE,金财互联,JCHL,2010-12-31,2200-01-01,stock
002531.XSHE,天顺风能,TSFN,2010-12-31,2200-01-01,stock
002532.XSHE,新界泵业,XJBY,2010-12-31,2200-01-01,stock
002533.XSHE,金杯电工,JBDG,2010-12-31,2200-01-01,stock
002534.XSHE,杭锅股份,HGGF,2011-01-10,2200-01-01,stock
002535.XSHE,林州重机,LZZJ,2011-01-11,2200-01-01,stock
002536.XSHE,飞龙股份,FLGF,2011-01-11,2200-01-01,stock
002537.XSHE,海联金汇,HLJH,2011-01-10,2200-01-01,stock
002538.XSHE,司尔特,SET,2011-01-18,2200-01-01,stock
002539.XSHE,云图控股,YTKG,2011-01-18,2200-01-01,stock
002540.XSHE,亚太科技,YTKJ,2011-01-18,2200-01-01,stock
002541.XSHE,鸿路钢构,HLGG,2011-01-18,2200-01-01,stock
002542.XSHE,中化岩土,ZHYT,2011-01-28,2200-01-01,stock
002543.XSHE,万和电气,WHDQ,2011-01-28,2200-01-01,stock
002544.XSHE,杰赛科技,JSKJ,2011-01-28,2200-01-01,stock
002545.XSHE,东方铁塔,DFTT,2011-02-11,2200-01-01,stock
002546.XSHE,新联电子,XLDZ,2011-02-11,2200-01-01,stock
002547.XSHE,春兴精工,CXJG,2011-02-18,2200-01-01,stock
002548.XSHE,金新农,JXN,2011-02-18,2200-01-01,stock
002549.XSHE,凯美特气,KMTQ,2011-02-18,2200-01-01,stock
002550.XSHE,千红制药,QHZY,2011-02-18,2200-01-01,stock
002551.XSHE,尚荣医疗,SRYL,2011-02-25,2200-01-01,stock
002552.XSHE,宝鼎科技,BDKJ,2011-02-25,2200-01-01,stock
002553.XSHE,南方轴承,NFZC,2011-02-25,2200-01-01,stock
002554.XSHE,惠博普,HBP,2011-02-25,2200-01-01,stock
002555.XSHE,三七互娱,SQHY,2011-03-02,2200-01-01,stock
002556.XSHE,辉隆股份,HLGF,2011-03-02,2200-01-01,stock
002557.XSHE,洽洽食品,QQSP,2011-03-02,2200-01-01,stock
002558.XSHE,巨人网络,JRWL,2011-03-02,2200-01-01,stock
002559.XSHE,亚威股份,YWGF,2011-03-03,2200-01-01,stock
002560.XSHE,通达股份,TDGF,2011-03-03,2200-01-01,stock
002561.XSHE,徐家汇,XJH,2011-03-03,2200-01-01,stock
002562.XSHE,兄弟科技,XDKJ,2011-03-10,2200-01-01,stock
002563.XSHE,森马服饰,SMFS,2011-03-11,2200-01-01,stock
002564.XSHE,天沃科技,TWKJ,2011-03-10,2200-01-01,stock
002565.XSHE,顺灏股份,SHGF,2011-03-18,2200-01-01,stock
002566.XSHE,益盛药业,YSYY,2011-03-18,2200-01-01,stock
002567.XSHE,唐人神,TRS,2011-03-25,2200-01-01,stock
002568.XSHE,百润股份,BRGF,2011-03-25,2200-01-01,stock
002569.XSHE,*ST步森,*STBS,2011-04-12,2200-01-01,stock
002570.XSHE,贝因美,BYM,2011-04-12,2200-01-01,stock
002571.XSHE,德力股份,DLGF,2011-04-12,2200-01-01,stock
002572.XSHE,索菲亚,SFY,2011-04-12,2200-01-01,stock
002573.XSHE,清新环境,QXHJ,2011-04-22,2200-01-01,stock
002574.XSHE,明牌珠宝,MPZB,2011-04-22,2200-01-01,stock
002575.XSHE,群兴玩具,QXWJ,2011-04-22,2200-01-01,stock
002576.XSHE,通达动力,TDDL,2011-04-28,2200-01-01,stock
002577.XSHE,雷柏科技,LBKJ,2011-04-28,2200-01-01,stock
002578.XSHE,闽发铝业,MFLY,2011-04-28,2200-01-01,stock
002579.XSHE,中京电子,ZJDZ,2011-05-06,2200-01-01,stock
002580.XSHE,圣阳股份,SYGF,2011-05-06,2200-01-01,stock
002581.XSHE,未名医药,WMYY,2011-05-20,2200-01-01,stock
002582.XSHE,好想你,HXN,2011-05-20,2200-01-01,stock
002583.XSHE,海能达,HND,2011-05-27,2200-01-01,stock
002584.XSHE,西陇科学,XLKX,2011-06-02,2200-01-01,stock
002585.XSHE,双星新材,SXXC,2011-06-02,2200-01-01,stock
002586.XSHE,ST围海,STWH,2011-06-02,2200-01-01,stock
002587.XSHE,奥拓电子,ATDZ,2011-06-10,2200-01-01,stock
002588.XSHE,史丹利,SDL,2011-06-10,2200-01-01,stock
002589.XSHE,瑞康医药,RKYY,2011-06-10,2200-01-01,stock
002590.XSHE,万安科技,WAKJ,2011-06-10,2200-01-01,stock
002591.XSHE,恒大高新,HDGX,2011-06-21,2200-01-01,stock
002592.XSHE,八菱科技,BLKJ,2011-11-11,2200-01-01,stock
002593.XSHE,日上集团,RSJT,2011-06-28,2200-01-01,stock
002594.XSHE,比亚迪,BYD,2011-06-30,2200-01-01,stock
002595.XSHE,豪迈科技,HMKJ,2011-06-28,2200-01-01,stock
002596.XSHE,海南瑞泽,HNRZ,2011-07-07,2200-01-01,stock
002597.XSHE,金禾实业,JHSY,2011-07-07,2200-01-01,stock
002598.XSHE,山东章鼓,SDZG,2011-07-07,2200-01-01,stock
002599.XSHE,盛通股份,STGF,2011-07-15,2200-01-01,stock
002600.XSHE,领益智造,LYZZ,2011-07-15,2200-01-01,stock
002601.XSHE,龙蟒佰利,LMBL,2011-07-15,2200-01-01,stock
002602.XSHE,世纪华通,SJHT,2011-07-28,2200-01-01,stock
002603.XSHE,以岭药业,YLYY,2011-07-28,2200-01-01,stock
002604.XSHE,*ST龙力,*STLL,2011-07-28,2200-01-01,stock
002605.XSHE,姚记科技,YJKJ,2011-08-05,2200-01-01,stock
002606.XSHE,大连电瓷,DLDC,2011-08-05,2200-01-01,stock
002607.XSHE,中公教育,ZGJY,2011-08-10,2200-01-01,stock
002608.XSHE,江苏国信,JSGX,2011-08-10,2200-01-01,stock
002609.XSHE,捷顺科技,JSKJ,2011-08-15,2200-01-01,stock
002610.XSHE,爱康科技,AKKJ,2011-08-15,2200-01-01,stock
002611.XSHE,东方精工,DFJG,2011-08-30,2200-01-01,stock
002612.XSHE,朗姿股份,LZGF,2011-08-30,2200-01-01,stock
002613.XSHE,北玻股份,BBGF,2011-08-30,2200-01-01,stock
002614.XSHE,奥佳华,AJH,2011-09-09,2200-01-01,stock
002615.XSHE,哈尔斯,HES,2011-09-09,2200-01-01,stock
002616.XSHE,长青集团,CQJT,2011-09-20,2200-01-01,stock
002617.XSHE,露笑科技,LXKJ,2011-09-20,2200-01-01,stock
002618.XSHE,丹邦科技,DBKJ,2011-09-20,2200-01-01,stock
002619.XSHE,艾格拉斯,AGLS,2011-09-29,2200-01-01,stock
002620.XSHE,瑞和股份,RHGF,2011-09-29,2200-01-01,stock
002621.XSHE,美吉姆,MJM,2011-09-29,2200-01-01,stock
002622.XSHE,融钰集团,RYJT,2011-10-18,2200-01-01,stock
002623.XSHE,亚玛顿,YMD,2011-10-13,2200-01-01,stock
002624.XSHE,完美世界,WMSJ,2011-10-28,2200-01-01,stock
002625.XSHE,光启技术,GQJS,2011-11-03,2200-01-01,stock
002626.XSHE,金达威,JDW,2011-10-28,2200-01-01,stock
002627.XSHE,宜昌交运,YCJY,2011-11-03,2200-01-01,stock
002628.XSHE,成都路桥,CDLQ,2011-11-03,2200-01-01,stock
002629.XSHE,*ST仁智,*STRZ,2011-11-03,2200-01-01,stock
002630.XSHE,华西能源,HXNY,2011-11-11,2200-01-01,stock
002631.XSHE,德尔未来,DEWL,2011-11-11,2200-01-01,stock
002632.XSHE,道明光学,DMGX,2011-11-22,2200-01-01,stock
002633.XSHE,申科股份,SKGF,2011-11-22,2200-01-01,stock
002634.XSHE,棒杰股份,BJGF,2011-12-05,2200-01-01,stock
002635.XSHE,安洁科技,AJKJ,2011-11-25,2200-01-01,stock
002636.XSHE,金安国纪,JAGJ,2011-11-25,2200-01-01,stock
002637.XSHE,赞宇科技,ZYKJ,2011-11-25,2200-01-01,stock
002638.XSHE,勤上股份,QSGF,2011-11-25,2200-01-01,stock
002639.XSHE,雪人股份,XRGF,2011-12-05,2200-01-01,stock
002640.XSHE,跨境通,KJT,2011-12-08,2200-01-01,stock
002641.XSHE,永高股份,YGGF,2011-12-08,2200-01-01,stock
002642.XSHE,*ST荣联,*STRL,2011-12-20,2200-01-01,stock
002643.XSHE,万润股份,WRGF,2011-12-20,2200-01-01,stock
002644.XSHE,佛慈制药,FCZY,2011-12-22,2200-01-01,stock
002645.XSHE,华宏科技,HHKJ,2011-12-20,2200-01-01,stock
002646.XSHE,青青稞酒,QQKJ,2011-12-22,2200-01-01,stock
002647.XSHE,仁东控股,RDKG,2011-12-28,2200-01-01,stock
002648.XSHE,卫星石化,WXSH,2011-12-28,2200-01-01,stock
002649.XSHE,博彦科技,BYKJ,2012-01-06,2200-01-01,stock
002650.XSHE,加加食品,JJSP,2012-01-06,2200-01-01,stock
002651.XSHE,利君股份,LJGF,2012-01-06,2200-01-01,stock
002652.XSHE,扬子新材,YZXC,2012-01-19,2200-01-01,stock
002653.XSHE,海思科,HSK,2012-01-17,2200-01-01,stock
002654.XSHE,万润科技,WRKJ,2012-02-17,2200-01-01,stock
002655.XSHE,共达电声,GDDS,2012-02-17,2200-01-01,stock
002656.XSHE,摩登大道,MDDD,2012-02-28,2200-01-01,stock
002657.XSHE,中科金财,ZKJC,2012-02-28,2200-01-01,stock
002658.XSHE,雪迪龙,XDL,2012-03-09,2200-01-01,stock
002659.XSHE,凯文教育,KWJY,2012-03-09,2200-01-01,stock
002660.XSHE,茂硕电源,MSDY,2012-03-16,2200-01-01,stock
002661.XSHE,克明面业,KMMY,2012-03-16,2200-01-01,stock
002662.XSHE,京威股份,JWGF,2012-03-09,2200-01-01,stock
002663.XSHE,普邦股份,PBGF,2012-03-16,2200-01-01,stock
002664.XSHE,长鹰信质,CYXZ,2012-03-16,2200-01-01,stock
002665.XSHE,首航节能,SHJN,2012-03-27,2200-01-01,stock
002666.XSHE,德联集团,DLJT,2012-03-27,2200-01-01,stock
002667.XSHE,鞍重股份,AZGF,2012-03-29,2200-01-01,stock
002668.XSHE,奥马电器,AMDQ,2012-04-16,2200-01-01,stock
002669.XSHE,康达新材,KDXC,2012-04-16,2200-01-01,stock
002670.XSHE,国盛金控,GSJK,2012-04-16,2200-01-01,stock
002671.XSHE,龙泉股份,LQGF,2012-04-26,2200-01-01,stock
002672.XSHE,东江环保,DJHB,2012-04-26,2200-01-01,stock
002673.XSHE,西部证券,XBZQ,2012-05-03,2200-01-01,stock
002674.XSHE,兴业科技,XYKJ,2012-05-07,2200-01-01,stock
002675.XSHE,东诚药业,DCYY,2012-05-25,2200-01-01,stock
002676.XSHE,顺威股份,SWGF,2012-05-25,2200-01-01,stock
002677.XSHE,浙江美大,ZJMD,2012-05-25,2200-01-01,stock
002678.XSHE,珠江钢琴,ZJGQ,2012-05-30,2200-01-01,stock
002679.XSHE,福建金森,FJJS,2012-06-05,2200-01-01,stock
002680.XSHE,长生退,CST,2012-06-05,2200-01-01,stock
002681.XSHE,奋达科技,FDKJ,2012-06-05,2200-01-01,stock
002682.XSHE,龙洲股份,LZGF,2012-06-12,2200-01-01,stock
002683.XSHE,宏大爆破,HDBP,2012-06-12,2200-01-01,stock
002684.XSHE,*ST猛狮,*STMS,2012-06-12,2200-01-01,stock
002685.XSHE,华东重机,HDZJ,2012-06-12,2200-01-01,stock
002686.XSHE,亿利达,YLD,2012-07-03,2200-01-01,stock
002687.XSHE,乔治白,QZB,2012-07-13,2200-01-01,stock
002688.XSHE,金河生物,JHSW,2012-07-13,2200-01-01,stock
002689.XSHE,远大智能,YDZN,2012-07-17,2200-01-01,stock
002690.XSHE,美亚光电,MYGD,2012-07-31,2200-01-01,stock
002691.XSHE,冀凯股份,JKGF,2012-07-31,2200-01-01,stock
002692.XSHE,ST远程,STYC,2012-08-08,2200-01-01,stock
002693.XSHE,双成药业,SCYY,2012-08-08,2200-01-01,stock
002694.XSHE,顾地科技,GDKJ,2012-08-16,2200-01-01,stock
002695.XSHE,煌上煌,HSH,2012-09-05,2200-01-01,stock
002696.XSHE,百洋股份,BYGF,2012-09-05,2200-01-01,stock
002697.XSHE,红旗连锁,HQLS,2012-09-05,2200-01-01,stock
002698.XSHE,博实股份,BSGF,2012-09-11,2200-01-01,stock
002699.XSHE,美盛文化,MSWH,2012-09-11,2200-01-01,stock
002700.XSHE,新疆浩源,XJHY,2012-09-21,2200-01-01,stock
002701.XSHE,奥瑞金,ARJ,2012-10-11,2200-01-01,stock
002702.XSHE,海欣食品,HXSP,2012-10-11,2200-01-01,stock
002703.XSHE,浙江世宝,ZJSB,2012-11-02,2200-01-01,stock
002705.XSHE,新宝股份,XBGF,2014-01-21,2200-01-01,stock
002706.XSHE,良信电器,LXDQ,2014-01-21,2200-01-01,stock
002707.XSHE,众信旅游,ZXLY,2014-01-23,2200-01-01,stock
002708.XSHE,光洋股份,GYGF,2014-01-21,2200-01-01,stock
002709.XSHE,天赐材料,TCCL,2014-01-23,2200-01-01,stock
002711.XSHE,*ST欧浦,*STOP,2014-01-27,2200-01-01,stock
002712.XSHE,思美传媒,SMCM,2014-01-23,2200-01-01,stock
002713.XSHE,东易日盛,DYRS,2014-02-19,2200-01-01,stock
002714.XSHE,牧原股份,MYGF,2014-01-28,2200-01-01,stock
002715.XSHE,登云股份,DYGF,2014-02-19,2200-01-01,stock
002716.XSHE,ST金贵,STJG,2014-01-28,2200-01-01,stock
002717.XSHE,岭南股份,LNGF,2014-02-19,2200-01-01,stock
002718.XSHE,友邦吊顶,YBDD,2014-01-28,2200-01-01,stock
002719.XSHE,麦趣尔,MQE,2014-01-28,2200-01-01,stock
002721.XSHE,金一文化,JYWH,2014-01-27,2200-01-01,stock
002722.XSHE,金轮股份,JLGF,2014-01-28,2200-01-01,stock
002723.XSHE,金莱特,JLT,2014-01-29,2200-01-01,stock
002724.XSHE,海洋王,HYW,2014-11-04,2200-01-01,stock
002725.XSHE,跃岭股份,YLGF,2014-01-29,2200-01-01,stock
002726.XSHE,龙大肉食,LDRS,2014-06-26,2200-01-01,stock
002727.XSHE,一心堂,YXT,2014-07-02,2200-01-01,stock
002728.XSHE,特一药业,TYYY,2014-07-31,2200-01-01,stock
002729.XSHE,好利来,HLL,2014-09-12,2200-01-01,stock
002730.XSHE,电光科技,DGKJ,2014-10-09,2200-01-01,stock
